EndFiscalYear,Region_MostRecentPlacement,Institution_MostRecentPlacement,Gender,Measure,TotalAggregatedDays_RestrictiveConfinement,TotalAggregatedDays_Segregation
2025,Western,Central North Correctional Centre,Male,Median,7,6
2025,Western,Elgin-Middlesex Detention Centre,Male,Median,3,2
2025,Western,Sarnia Jail,Male,Median,5,3
2025,Western,South West Detention Centre,Male,Median,9.5,4.5
2025,Western,Stratford Jail,Male,Median,4,2
2025,Central,Hamilton Wentworth Detention Centre,Male,Mode,1,1
2025,Central,Maplehurst Correctional Complex,Male,Mode,2,1
2025,Central,Niagara Detention Centre,Male,Mode,1,2
2025,Central,Ontario Correctional Institute,Male,Mode,,0
2025,Central,Vanier Centre for Women,Male,Mode,,15
2025,Eastern,Brockville Jail,Male,Mode,1,1
2025,Eastern,Central East Correctional Centre,Male,Mode,1,1
2025,Eastern,Ottawa-Carleton Detention Centre,Male,Mode,1,2
2025,Eastern,Quinte Detention Centre,Male,Mode,1,1
2025,Eastern,St. Lawrence Valley Correctional and Treatment Centre,Male,Mode,0,0
2025,Northern,Algoma Treatment and Remand Centre,Male,Mode,2,1
2025,Northern,Fort Frances Jail,Male,Mode,1,2
2025,Northern,Kenora Jail,Male,Mode,1,1
2025,Northern,Monteith Correctional Complex,Male,Mode,1,1
2025,Northern,North Bay Jail,Male,Mode,0,1
2025,Northern,Sudbury Jail,Male,Mode,1,1
2025,Northern,Thunder Bay Correctional Centre,Male,Mode,1,1
2025,Northern,Thunder Bay Jail,Male,Mode,1,1
2025,Toronto,Toronto East Detention Centre,Male,Mode,1,1
2025,Toronto,Toronto South Detention Centre,Male,Mode,1,3
2025,Western,Central North Correctional Centre,Male,Mode,1,1
2025,Western,Elgin-Middlesex Detention Centre,Male,Mode,1,1
2025,Western,Sarnia Jail,Male,Mode,1,1
2025,Western,South West Detention Centre,Male,Mode,1,3
2025,Western,Stratford Jail,Male,Mode,1,3
2025,Central,Hamilton Wentworth Detention Centre,All,Maximum,282,
2025,Central,Maplehurst Correctional Complex,All,Maximum,364,
2025,Central,Niagara Detention Centre,All,Maximum,189,
2025,Central,Ontario Correctional Institute,All,Maximum,44,
2025,Central,Vanier Centre for Women,All,Maximum,266,
2025,Eastern,Brockville Jail,All,Maximum,244,
2025,Eastern,Central East Correctional Centre,All,Maximum,363,
2025,Eastern,Ottawa-Carleton Detention Centre,All,Maximum,361,
2025,Eastern,Quinte Detention Centre,All,Maximum,349,
2025,Eastern,St. Lawrence Valley Correctional and Treatment Centre,All,Maximum,0,
2025,Northern,Algoma Treatment and Remand Centre,All,Maximum,232,
2025,Northern,Fort Frances Jail,All,Maximum,98,
2025,Northern,Kenora Jail,All,Maximum,197,
2025,Northern,Monteith Correctional Complex,All,Maximum,123,
2025,Northern,North Bay Jail,All,Maximum,0,
2025,Northern,Sudbury Jail,All,Maximum,252,
2025,Northern,Thunder Bay Correctional Centre,All,Maximum,158,
2025,Northern,Thunder Bay Jail,All,Maximum,224,
2025,Toronto,Toronto East Detention Centre,All,Maximum,352,
2025,Toronto,Toronto South Detention Centre,All,Maximum,332,
2025,Western,Central North Correctional Centre,All,Maximum,363,
2025,Western,Elgin-Middlesex Detention Centre,All,Maximum,344,
2025,Western,Sarnia Jail,All,Maximum,178,
2025,Western,South West Detention Centre,All,Maximum,301,
2025,Western,Stratford Jail,All,Maximum,115,
2025,Central,Hamilton Wentworth Detention Centre,All,Median,2,5
2025,Central,Maplehurst Correctional Complex,All,Median,40,4
2025,Central,Niagara Detention Centre,All,Median,3,7
2025,Central,Ontario Correctional Institute,All,Median,5,0
2025,Central,Vanier Centre for Women,All,Median,3,5
2025,Eastern,Brockville Jail,All,Median,4,2
2025,Eastern,Central East Correctional Centre,All,Median,12,4
2025,Eastern,Ottawa-Carleton Detention Centre,All,Median,31,4
2025,Eastern,Quinte Detention Centre,All,Median,2,2
2025,Eastern,St. Lawrence Valley Correctional and Treatment Centre,All,Median,0,0
2025,Northern,Algoma Treatment and Remand Centre,All,Median,5,4
2025,Northern,Fort Frances Jail,All,Median,4,2
2025,Northern,Kenora Jail,All,Median,7,2
2025,Northern,Monteith Correctional Complex,All,Median,4,4
2025,Northern,North Bay Jail,All,Median,0,5
2025,Northern,Sudbury Jail,All,Median,4,5
2025,Northern,Thunder Bay Correctional Centre,All,Median,5,1.5
2025,Northern,Thunder Bay Jail,All,Median,7,5
2025,Toronto,Toronto East Detention Centre,All,Median,47,4
2025,Toronto,Toronto South Detention Centre,All,Median,7,10
2025,Western,Central North Correctional Centre,All,Median,7,6
2025,Western,Elgin-Middlesex Detention Centre,All,Median,3,3
2025,Western,Sarnia Jail,All,Median,5,3
2025,Western,South West Detention Centre,All,Median,7,4
2025,Western,Stratford Jail,All,Median,4,2
2025,Central,Hamilton Wentworth Detention Centre,All,Mode,1,1
2025,Central,Maplehurst Correctional Complex,All,Mode,2,1
2025,Central,Niagara Detention Centre,All,Mode,1,2
2025,Central,Ontario Correctional Institute,All,Mode,,0
2025,Central,Vanier Centre for Women,All,Mode,1,1
2025,Eastern,Brockville Jail,All,Mode,1,1
2025,Eastern,Central East Correctional Centre,All,Mode,1,1
2025,Eastern,Ottawa-Carleton Detention Centre,All,Mode,1,2
2025,Eastern,Quinte Detention Centre,All,Mode,1,1
2025,Eastern,St. Lawrence Valley Correctional and Treatment Centre,All,Mode,0,0
2025,Northern,Algoma Treatment and Remand Centre,All,Mode,2,1
2025,Northern,Fort Frances Jail,All,Mode,1,2
2025,Northern,Kenora Jail,All,Mode,1,1
2025,Northern,Monteith Correctional Complex,All,Mode,1,1
2025,Northern,North Bay Jail,All,Mode,0,1
2025,Northern,Sudbury Jail,All,Mode,1,1
2025,Northern,Thunder Bay Correctional Centre,All,Mode,1,1
2025,Northern,Thunder Bay Jail,All,Mode,1,1
2025,Toronto,Toronto East Detention Centre,All,Mode,1,1
2025,Toronto,Toronto South Detention Centre,All,Mode,1,3
2025,Western,Central North Correctional Centre,All,Mode,1,1
2025,Western,Elgin-Middlesex Detention Centre,All,Mode,1,1
2025,Western,Sarnia Jail,All,Mode,1,1
2025,Western,South West Detention Centre,All,Mode,1,2
2025,Western,Stratford Jail,All,Mode,1,3
